DATAFLOW,LAST UPDATE,freq,sex,isced11,age,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:UNE_EDUC_A(1.0),20/06/23 23:00:00,A,F,ED0-2,Y15-74,PC_ACT,DK,2013,12.3,
ESTAT:UNE_EDUC_A(1.0),20/06/23 23:00:00,A,F,ED0-2,Y15-74,PC_ACT,DK,2014,11.5,
ESTAT:UNE_EDUC_A(1.0),20/06/23 23:00:00,A,F,ED0-2,Y15-74,PC_ACT,DK,2015,11.0,
ESTAT:UNE_EDUC_A(1.0),20/06/23 23:00:00,A,F,ED0-2,Y15-74,PC_ACT,DK,2016,10.3,b
ESTAT:UNE_EDUC_A(1.0),20/06/23 23:00:00,A,F,ED0-2,Y15-74,PC_ACT,DK,2017,10.4,b
ESTAT:UNE_EDUC_A(1.0),20/06/23 23:00:00,A,F,ED0-2,Y15-74,PC_ACT,DK,2018,8.5,
ESTAT:UNE_EDUC_A(1.0),20/06/23 23:00:00,A,F,ED0-2,Y15-74,PC_ACT,DK,2019,8.9,
ESTAT:UNE_EDUC_A(1.0),20/06/23 23:00:00,A,F,ED0-2,Y15-74,PC_ACT,DK,2020,10.1,
ESTAT:UNE_EDUC_A(1.0),20/06/23 23:00:00,A,F,ED0-2,Y15-74,PC_ACT,DK,2021,8.9,
ESTAT:UNE_EDUC_A(1.0),20/06/23 23:00:00,A,F,ED0-2,Y15-74,PC_ACT,DK,2022,8.0,
ESTAT:UNE_EDUC_A(1.0),20/06/23 23:00:00,A,F,ED0-2,Y15-74,PC_ACT,EE,2013,12.8,
ESTAT:UNE_EDUC_A(1.0),20/06/23 23:00:00,A,F,ED0-2,Y15-74,PC_ACT,EE,2014,11.2,u
ESTAT:UNE_EDUC_A(1.0),20/06/23 23:00:00,A,F,ED0-2,Y15-74,PC_ACT,EE,2015,12.8,
ESTAT:UNE_EDUC_A(1.0),20/06/23 23:00:00,A,F,ED0-2,Y15-74,PC_ACT,EE,2016,13.4,
ESTAT:UNE_EDUC_A(1.0),20/06/23 23:00:00,A,F,ED0-2,Y15-74,PC_ACT,EE,2017,10.7,
ESTAT:UNE_EDUC_A(1.0),20/06/23 23:00:00,A,F,ED0-2,Y15-74,PC_ACT,EE,2018,12.5,
ESTAT:UNE_EDUC_A(1.0),20/06/23 23:00:00,A,F,ED0-2,Y15-74,PC_ACT,EE,2019,12.2,
ESTAT:UNE_EDUC_A(1.0),20/06/23 23:00:00,A,F,ED0-2,Y15-74,PC_ACT,EE,2020,14.0,
ESTAT:UNE_EDUC_A(1.0),20/06/23 23:00:00,A,F,ED0-2,Y15-74,PC_ACT,EE,2021,15.1,
ESTAT:UNE_EDUC_A(1.0),20/06/23 23:00:00,A,F,ED0-2,Y15-74,PC_ACT,EE,2022,12.4,
ESTAT:UNE_EDUC_A(1.0),20/06/23 23:00:00,A,F,ED0-2,Y15-74,PC_ACT,EL,2013,35.3,
ESTAT:UNE_EDUC_A(1.0),20/06/23 23:00:00,A,F,ED0-2,Y15-74,PC_ACT,EL,2014,34.0,
ESTAT:UNE_EDUC_A(1.0),20/06/23 23:00:00,A,F,ED0-2,Y15-74,PC_ACT,EL,2015,32.9,
ESTAT:UNE_EDUC_A(1.0),20/06/23 23:00:00,A,F,ED0-2,Y15-74,PC_ACT,EL,2016,34.0,
ESTAT:UNE_EDUC_A(1.0),20/06/23 23:00:00,A,F,ED0-2,Y15-74,PC_ACT,EL,2017,32.3,
ESTAT:UNE_EDUC_A(1.0),20/06/23 23:00:00,A,F,ED0-2,Y15-74,PC_ACT,EL,2018,31.4,
ESTAT:UNE_EDUC_A(1.0),20/06/23 23:00:00,A,F,ED0-2,Y15-74,PC_ACT,EL,2019,29.5,
ESTAT:UNE_EDUC_A(1.0),20/06/23 23:00:00,A,F,ED0-2,Y15-74,PC_ACT,EL,2020,28.6,
ESTAT:UNE_EDUC_A(1.0),20/06/23 23:00:00,A,F,ED0-2,Y15-74,PC_ACT,EL,2021,23.6,
ESTAT:UNE_EDUC_A(1.0),20/06/23 23:00:00,A,F,ED0-2,Y15-74,PC_ACT,EL,2022,20.9,
ESTAT:UNE_EDUC_A(1.0),20/06/23 23:00:00,A,F,ED0-2,Y15-74,PC_ACT,ES,2013,36.4,
ESTAT:UNE_EDUC_A(1.0),20/06/23 23:00:00,A,F,ED0-2,Y15-74,PC_ACT,ES,2014,35.5,
ESTAT:UNE_EDUC_A(1.0),20/06/23 23:00:00,A,F,ED0-2,Y15-74,PC_ACT,ES,2015,33.9,
ESTAT:UNE_EDUC_A(1.0),20/06/23 23:00:00,A,F,ED0-2,Y15-74,PC_ACT,ES,2016,31.6,
